Date,Close
1/2/2015,10.33
1/5/2015,10.6
1/7/2015,10.13
1/8/2015,9.93
1/9/2015,9.73
1/12/2015,9.47
1/13/2015,9.47
1/14/2015,9.67
1/15/2015,9.4
1/16/2015,8.93
1/20/2015,9.27
1/21/2015,9.27
1/23/2015,8.67
1/26/2015,8.4
1/28/2015,7.73
1/29/2015,7.33
1/30/2015,6.2
2/2/2015,6.15
2/3/2015,6.4
2/4/2015,6.2
2/5/2015,7.27
2/6/2015,8.93
2/9/2015,7.93
2/10/2015,7.93
2/11/2015,8.13
2/12/2015,8.33
2/13/2015,7.8
2/17/2015,7.33
2/18/2015,7
2/19/2015,6.87
2/20/2015,6.67
2/23/2015,6.8
2/24/2015,6.27
2/25/2015,6.33
2/26/2015,6.67
2/27/2015,6.87
3/2/2015,6.93
3/3/2015,6.33
3/4/2015,6.07
3/5/2015,6.33
3/6/2015,6.47
3/9/2015,5.4
3/10/2015,4.94
3/11/2015,4.73
3/12/2015,4.6
3/13/2015,4.55
3/16/2015,4.13
3/17/2015,3.56
3/18/2015,6.13
3/19/2015,6.07
3/20/2015,5.73
3/23/2015,6.33
3/24/2015,6.13
3/25/2015,6.67
3/26/2015,6.73
3/27/2015,6
3/30/2015,6.67
3/31/2015,5.71
4/1/2015,5.6
4/2/2015,5.47
4/6/2015,5.09
4/7/2015,5.27
4/8/2015,5.27
4/9/2015,5.4
4/10/2015,5.4
4/13/2015,5.27
4/14/2015,5.67
4/15/2015,5.93
4/16/2015,5.93
4/17/2015,5.47
4/20/2015,5.35
4/22/2015,5.93
4/23/2015,5.67
4/24/2015,5.68
4/27/2015,6
4/28/2015,6.53
4/29/2015,6.73
4/30/2015,7
5/1/2015,8.07
5/4/2015,7.4
5/5/2015,7.83
5/6/2015,7.9
5/7/2015,9.4
5/8/2015,11.67
5/11/2015,13.4
5/12/2015,12.67
5/13/2015,11.2
5/14/2015,10.73
5/15/2015,10.8
5/18/2015,10.4
5/19/2015,11.27
5/20/2015,11.07
5/21/2015,11.07
5/22/2015,10.27
5/26/2015,9.72
5/27/2015,10.2
5/28/2015,10.22
5/29/2015,10
6/1/2015,8.93
6/2/2015,8.87
6/3/2015,8.87
6/4/2015,8.53
6/5/2015,8.6
6/8/2015,8.67
6/9/2015,9.07
6/10/2015,9.87
6/11/2015,9.53
6/12/2015,10.32
6/15/2015,11.73
6/16/2015,11.13
6/17/2015,12
6/18/2015,11.67
6/19/2015,10.53
6/22/2015,11.47
6/23/2015,11.27
6/24/2015,11.67
6/25/2015,11.93
6/26/2015,11.47
6/29/2015,10.47
6/30/2015,10.94
7/1/2015,10.17
7/2/2015,9.13
7/6/2015,7.33
7/7/2015,6.07
7/8/2015,5.2
7/9/2015,5.65
7/10/2015,6.07
7/13/2015,7
7/14/2015,6.4
7/15/2015,6.4
7/16/2015,6.53
7/17/2015,7.47
7/20/2015,9.13
7/21/2015,8.8
7/22/2015,7.73
7/23/2015,7.73
7/24/2015,6.9
7/27/2015,6.47
7/28/2015,7.09
